-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Observed     |       Ritz       |  Rel. | Aki  | Acc. |     Ei           Ek     |         Lower level          |         Upper level          |Type|    TP  |    Line  |
    Wavelength    |    Wavelength    |  Int. |(s^-1)|      |    (eV)         (eV)    |------------------------------|------------------------------|    |   Ref. |    Ref.  |
     Vac (nm)     |     Vac (nm)     |       |      |      |                         | Conf.           | Term | J   | Conf.           | Term | J   |    |        |          |
     Air (nm)     |     Air (nm)     |       |      |      |                         | Conf.           | Term | J   | Conf.           | Term | J   |    |        |          |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        202.4350  |        202.430+  |     2 |      |      |  23.03564  -   29.15847 | 5s2.5p.(2P*).5d | 1D*  | 2   | 5s2.5p.(2P*).6p | 3D   | 2   |    |        |   L7287  |
        202.9750  |        202.972+  |     8 |      |      |  19.40437  -   25.51084 | 5s2.5p.(2P*).5d | 3F*  | 2   | 5s2.5p.(2P*).4f | 3D   | 3   |    |        |   L7287  |
        203.2560  |        203.255+  |     6 |      |      |  24.05704  -   30.15500 | 5s2.5p.(2P*).6s | 3P*  | 0   | 5s2.5p.(2P*).6p | 1P   | 1   |    |        |   L7287  |
        204.0860  |        204.084+  |     5 |      |      |  24.08181  -   30.15500 | 5s2.5p.(2P*).6s | 3P*  | 1   | 5s2.5p.(2P*).6p | 1P   | 1   |    |        |   L7287  |
        208.9120  |        208.914+  |     1 |      |      |  24.79176  -   30.72457 | 5s2.5p.(2P*).5d | 1P*  | 1   | 5s2.5p.(2P*).6p | 3S   | 1   |    |        |   L7287  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        212.3690  |        212.369+  |     8 |      |      |  21.03672  -   26.87303 | 5s.5p3          | 1P*  | 1   | 5s2.5p.(2P*).4f | 1D   | 2   |    |        |   L7287  |
        212.4250  |        212.425+  |     4 |      |      |  22.44167  -   28.27644 | 5s2.5p.(2P*).5d | 3D*  | 2   | 5s2.5p.(2P*).6p | 3D   | 1   |    |        |   L7287  |
        213.8990  |        213.899+  |     5 |      |      |  19.91563  -   25.71019 | 5s2.5p.(2P*).5d | 3F*  | 3   | 5s2.5p.(2P*).4f | 3D   | 2   |    |        |   L7287  |
        214.5160  |        214.515+  |     9 |      |      |  26.41362  -   32.19154 | 5s2.5p.(2P*).6s | 1P*  | 1   | 5s2.5p.(2P*).6p | 1S   | 0   |    |        |   L7287  |
        218.4690  |        218.473+  |     8 |      |      |  21.19976  -   26.87303 | 5s2.5p.(2P*).5d | 3P*  | 2   | 5s2.5p.(2P*).4f | 1D   | 2   |    |        |   L7287  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        222.8330  |        222.835+  |     3 |      |      |  24.79176  -   30.35397 | 5s2.5p.(2P*).5d | 1P*  | 1   | 5s2.5p.(2P*).6p | 3P   | 2   |    |        |   L7287  |
        231.1040  |        231.103+  |     4 |      |      |  24.79176  -   30.15500 | 5s2.5p.(2P*).5d | 1P*  | 1   | 5s2.5p.(2P*).6p | 1P   | 1   |    |        |   L7287  |
        240.9590  |        240.959+  |    11 |      |      |  25.92124  -   31.06513 | 5s2.5p.(2P*).6s | 3P*  | 2   | 5s2.5p.(2P*).6p | 1D   | 2   |    |        |   L7287  |
        243.5820  |        243.585+  |     2 |      |      |  24.07004  -   29.15847 | 5s2.5p.(2P*).5d | 1F*  | 3   | 5s2.5p.(2P*).6p | 3D   | 2   |    |        |   L7287  |
        244.1490  |        244.150+  |  14bl |      |      |  24.08181  -   29.15847 | 5s2.5p.(2P*).6s | 3P*  | 1   | 5s2.5p.(2P*).6p | 3D   | 2   |    |        |   L7287  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        244.1860  |        244.188+  |    15 |      |      |  18.07776  -   23.15364 | 5s.5p3          | 1D*  | 2   | 5s2.5p.(2P*).4f | 3G   | 3   |    |        |   L7287  |
        244.3370  |        244.336+  |    10 |      |      |  19.91563  -   24.98842 | 5s2.5p.(2P*).5d | 3F*  | 3   | 5s2.5p.(2P*).4f | 3G   | 4   |    |        |   L7287  |
        247.3110  |        247.312+  |    12 |      |      |  24.05704  -   29.06879 | 5s2.5p.(2P*).6s | 3P*  | 0   | 5s2.5p.(2P*).6p | 3P   | 1   |    |        |   L7287  |
