----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       Observed       |         Ritz         |     Rel. |    Aki     | Acc. |       Ei           Ek       |            Lower level            |            Upper level             |Type|                TP  |       Line  |
      Wavelength      |      Wavelength      |     Int. |   (s^-1)   |      |      (eV)         (eV)      |-----------------------------------|------------------------------------|    |               Ref. |       Ref.  |
       Vac (nm)       |       Vac (nm)       |          |            |      |                             | Conf.             | Term    | J   | Conf.              | Term    | J   |    |                    |             |
          347.2360    |          347.2358+   |        4 |            |      |   8.3153161  -   11.884900  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).11p | 2[5/2]  | 3   |    |                    |      L4739  |
          349.6860    |          349.6856+   |        1 |            |      |   8.4365241  -   11.981100  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 1   | 5p5.(2P*<3/2>).13p | 2[1/2]  | 0   |    |                    |      L4739  |
          350.6740    |          350.67334+  |        5 |            |      |   8.3153161  -   11.8499088 | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).7f  | 2[5/2]  | 3   |    |                    |      L4739  |
          350.8420    |          350.83842+  |        2 |            |      |   8.3153161  -   11.8482457 | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).7f  | 2[3/2]  | 2   |    |                    |      L4739  |
          351.7900    |          351.7956+   |       2* |            |      |   8.4365241  -   11.959842  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 1   | 5p5.(2P*<3/2>).9f  | 2[3/2]  | 1   |    |                    |      L4739  |
                      |                      |          |            |      |                             |                   |         |     |                    |         |     |    |                    |             |
          351.7900    |          351.7876+   |       2* |            |      |   8.4365241  -   11.959921  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 1   | 5p5.(2P*<3/2>).9f  | 2[3/2]  | 2   |    |                    |      L4739  |
          353.3480    |          353.3475+   |        2 |            |      |   8.4365241  -   11.944367  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 1   | 5p5.(2P*<3/2>).12p | 2[1/2]  | 0   |    |                    |      L4739  |
          353.6610    |          353.6592+   |       1- |            |      |   8.4365241  -   11.941276  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 1   | 5p5.(2P*<3/2>).12p | 2[3/2]  | 2   |    |                    |      L4739  |
          353.7350    |          353.7346+   |        1 |            |      |   8.4365241  -   11.940529  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 1   | 5p5.(2P*<3/2>).12p | 2[3/2]  | 1   |    |                    |      L4739  |
          354.9860    |          354.9865+   |       10 |            |      |   8.3153161  -   11.806964  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).10p | 2[3/2]  | 2   |    |                    |      L4739  |
                      |                      |          |            |      |                             |                   |         |     |                    |         |     |    |                    |             |
          355.4040    |          355.4037+   |       10 |            |      |   8.3153161  -   11.802865  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).10p | 2[5/2]  | 3   |    |                    |      L4739  |
          355.5920    |          355.5917+   |        1 |            |      |   8.3153161  -   11.801022  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).10p | 2[5/2]  | 2   |    |                    |      L4739  |
          356.3800    |          356.3771+   |        3 |            |      |   8.4365241  -   11.914548  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 1   | 5p5.(2P*<3/2>).8f  | 2[3/2]  | 2   |    |                    |      L4739  |
          358.7020    |          358.7016+   |        4 |            |      |   8.4365241  -   11.892010  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 1   | 5p5.(2P*<3/2>).11p | 2[1/2]  | 0   |    |                    |      L4739  |
          359.1670    |          359.1672+   |        1 |            |      |   8.4365241  -   11.887531  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 1   | 5p5.(2P*<3/2>).11p | 2[3/2]  | 2   |    |                    |      L4739  |
                      |                      |          |            |      |                             |                   |         |     |                    |         |     |    |                    |             |
          359.2800    |          359.2796+   |        2 |            |      |   8.4365241  -   11.886451  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 1   | 5p5.(2P*<3/2>).11p | 2[3/2]  | 1   |    |                    |      L4739  |
          361.0320    |          361.03081+  |       15 |            |      |   8.3153161  -   11.7485091 | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).6f  | 2[5/2]  | 3   |    |                    |      L4739  |
          361.3060    |          361.30476+  |        8 |            |      |   8.3153161  -   11.7459060 | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).6f  | 2[3/2]  | 2   |    |                    |      L4739  |
          363.3060    |          363.30300+  |        6 |            |      |   8.4365241  -   11.8482457 | 5p5.(2P*<3/2>).6s | 2[3/2]* | 1   | 5p5.(2P*<3/2>).7f  | 2[3/2]  | 2   |    |                    |      L4739  |
          366.9910    |          366.9905+   |       10 |            |      |   8.4365241  -   11.813966  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 1   | 5p5.(2P*<3/2>).10p | 2[1/2]  | 0   |    |                    |      L4739  |
                      |                      |          |            |      |                             |                   |         |     |                    |         |     |    |                    |             |
          367.7540    |          367.7529+   |        2 |            |      |   8.4365241  -   11.806964  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 1   | 5p5.(2P*<3/2>).10p | 2[3/2]  | 2   |    |                    |      L4739  |
          367.9310    |          367.9306+   |        4 |            |      |   8.4365241  -   11.805336  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 1   | 5p5.(2P*<3/2>).10p | 2[3/2]  | 1   |    |                    |      L4739  |
          368.5900    |          368.5900+   |       40 | 4.5e+05    | D    |   8.3153161  -   11.678101  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).9p  | 2[3/2]  | 2   |    |              T3269 |      L4739  |
          368.8800    |          368.8808+   |        1 |            |      |   8.3153161  -   11.675451  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).9p  | 2[3/2]  | 1   |    |                    |      L4739  |
          369.3490    |          369.3487+   |       40 | 3.1e+05    | D+   |   8.3153161  -   11.671194  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).9p  | 2[5/2]  | 3   |    |              T3269 |      L4739  |
                      |                      |          |            |      |                             |                   |         |     |                    |         |     |    |                    |             |
          369.6820    |          369.6817+   |        4 |            |      |   8.3153161  -   11.668172  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).9p  | 2[5/2]  | 2   |    |                    |      L4739  |
          370.2740    |          370.2732+   |        2 |            |      |   8.3153161  -   11.662815  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).9p  | 2[1/2]  | 1   |    |                    |      L4739  |
          373.781     |          373.776+    |        5 |            |      |   9.5697254  -   12.88585   | 5p5.(2P*<1/2>).6s | 2[1/2]* | 1   | 5p5.(2P*<1/2>).5f  | 2[5/2]  | 2   |    |                    |      L4103  |
          374.2220    |          374.21825+  |        1 |            |      |   8.4365241  -   11.7487346 | 5p5.(2P*<3/2>).6s | 2[3/2]* | 1   | 5p5.(2P*<3/2>).6f  | 2[5/2]  | 2   |    |                    |      L4739  |
