-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Observed     |       Ritz       |  Rel. | Aki  | Acc. |     Ei           Ek     |         Lower level          |         Upper level          |Type|    TP  |    Line  |
    Wavelength    |    Wavelength    |  Int. |(s^-1)|      |    (eV)         (eV)    |------------------------------|------------------------------|    |   Ref. |    Ref.  |
     Vac (nm)     |     Vac (nm)     |       |      |      |                         | Conf.           | Term | J   | Conf.           | Term | J   |    |        |          |
        117.5710  |        117.5711+ |    10 |      |      |  13.25679  -   23.80225 | 5s.5p4          | 4P   | 3/2 | 5s2.5p2.(3P).4f | 4D*  | 5/2 |    |        |  L11502  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        117.7370  |        117.7371+ |    10 |      |      |  13.25679  -   23.78739 | 5s.5p4          | 4P   | 3/2 | 5s2.5p2.(3P).4f | 4F*  | 3/2 |    |        |  L11502  |
        118.1950  |        118.1946+ |     5 |      |      |  13.54582  -   24.03565 | 5s.5p4          | 4P   | 1/2 | 5s2.5p2.(3P).6p | 2S*  | 1/2 |    |        |  L11502  |
        118.8610  |        118.8604+ |     9 |      |      |  15.11726  -   25.54833 | 5s.5p4          | 2D   | 3/2 | 5s2.5p2.(3P).6p | 2P*  | 3/2 |    |        |  L11502  |
        119.0180  |        119.0177+ |     4 |      |      |  16.73546  -   27.15275 | 5s2.5p2.(3P).5d | 4F   | 3/2 | 5s2.5p2.(1D).4f | 2D*  | 5/2 |    |        |  L11502  |
        119.0570  |        119.0568+ |     2 |      |      |  16.96058  -   27.37445 | 5s2.5p2.(3P).5d | 2P   | 1/2 | 5s2.5p2.(1D).4f | 2P*  | 1/2 |    |        |  L11502  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        119.0980  |        119.0984+ |     3 |      |      |  17.97910  -   28.38933 | 5s2.5p2.(1D).5d | 2F   | 7/2 | 5s2.5p2.(1S).4f | 2F*  | 7/2 |    |        |  L11502  |
        119.2130  |        119.2132+ |     3 |      |      |  16.49330  -   26.89350 | 5s2.5p2.(3P).5d | 2P   | 3/2 | 5s2.5p2.(1D).6p | 2D*  | 5/2 |    |        |  L11502  |
        119.2320  |        119.2331+ |     6 |      |      |  13.25679  -   23.65526 | 5s.5p4          | 4P   | 3/2 | 5s2.5p2.(3P).6p | 4D*  | 3/2 |    |        |  L11502  |
