----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |        Ritz        |     Rel. | Aki  | Acc. |      Ei           Ek      |          Lower level          |          Upper level          |Type|    TP  |    Line  |
     Wavelength     |     Wavelength     |     Int. |(s^-1)|      |     (eV)         (eV)     |-------------------------------|-------------------------------|    |   Ref. |    Ref.  |
      Vac (nm)      |      Vac (nm)      |          |      |      |                           | Conf.            | Term | J   | Conf.            | Term | J   |    |        |          |
         125.1484   |         125.14901+ |        0 |      |      |  12.840820  -   22.747747 | 5s.5p5           | 3P*  | 1   | 5s2.5p3.(2D*).4f | 1P   | 1   |    |        |  L10579  |
         125.3650   |         125.36535+ |       10 |      |      |  12.182994  -   22.072824 | 5s.5p5           | 3P*  | 2   | 5s2.5p3.(2P*).6p | 3P   | 1   |    |        |  L10579  |
                    |                    |          |      |      |                           |                  |      |     |                  |      |     |    |        |          |
         126.7171   |         126.71681+ |        7 |      |      |  14.535917  -   24.320270 | 5s2.5p3.(4S*).5d | 3D*  | 2   | 5s2.5p3.(2P*).4f | 3F   | 3   |    |        |  L10579  |
         126.9293   |         126.92831+ |        2 |      |      |  15.636859  -   25.404908 | 5s2.5p3.(2D*).5d | 3F*  | 3   | 5s2.5p3.(2P*).4f | 1G   | 4   |    |        |  L10579  |
         127.2819   |         127.28162+ |       10 |      |      |  12.840820  -   22.581755 | 5s.5p5           | 3P*  | 1   | 5s2.5p3.(2P*).6p | 3S   | 1   |    |        |  L10579  |
         127.7742   |         127.77414+ |        3 |      |      |  15.636859  -   25.340246 | 5s2.5p3.(2D*).5d | 3F*  | 3   | 5s2.5p3.(2P*).4f | 3D   | 3   |    |        |  L10579  |
         127.8311   |         127.83111+ |        2 |      |      |  14.757347  -   24.456410 | 5s2.5p3.(2D*).5d | 1P*  | 1   | 5s2.5p3.(2P*).4f | 3F   | 2   |    |        |  L10579  |
                    |                    |          |      |      |                           |                  |      |     |                  |      |     |    |        |          |
         128.1633   |         128.16323+ |       11 |      |      |  12.840820  -   22.514749 | 5s.5p5           | 3P*  | 1   | 5s2.5p3.(2D*).4f | 3F   | 2   |    |        |  L10579  |
         129.2427   |         129.24210+ |        4 |      |      |  13.942011  -   23.535185 | 5s2.5p3.(4S*).5d | 5D*  | 1   | 5s2.5p3.(2D*).4f | 1D   | 2   |    |        |  L10579  |
         129.4477   |         129.44722+ |        6 |      |      |  13.942011  -   23.519983 | 5s2.5p3.(4S*).5d | 5D*  | 1   | 5s2.5p3.(2D*).4f | 3P   | 1   |    |        |  L10579  |
         129.4672   |         129.46636+ |        7 |      |      |  15.636859  -   25.213415 | 5s2.5p3.(2D*).5d | 3F*  | 3   | 5s2.5p3.(2P*).4f | 3D   | 2   |    |        |  L10579  |
         129.9234   |         129.92298+ |        2 |      |      |  12.182994  -   21.725894 | 5s.5p5           | 3P*  | 2   | 5s2.5p3.(2P*).6p | 3D   | 1   |    |        |  L10579  |
                    |                    |          |      |      |                           |                  |      |     |                  |      |     |    |        |          |
         130.3385   |         130.33781+ |        2 |      |      |  15.030552  -   24.543080 | 5s2.5p3.(4S*).5d | 3D*  | 3   | 5s2.5p3.(2P*).4f | 3G   | 3   |    |        |  L10579  |
         130.5475   |         130.54706+ |        0 |      |      |  15.842966  -   25.340246 | 5s2.5p3.(2D*).5d | 3G*  | 4   | 5s2.5p3.(2P*).4f | 3D   | 3   |    |        |  L10579  |
         130.5721   |         130.57171+ |        4 |      |      |  16.139486  -   25.634973 | 5s2.5p3.(2D*).5d | 3F*  | 4   | 5s2.5p3.(2P*).4f | 3F   | 4   |    |        |  L10579  |
         130.6260   |         130.62303+ |       9* |      |      |  13.868424  -   23.360180 | 5s2.5p3.(4S*).5d | 5D*  | 2   | 5s2.5p3.(2D*).4f | 3P   | 2   |    |        |  L10579  |
         130.6260   |         130.62461+ |       9* |      |      |  15.913266  -   25.404908 | 5s2.5p3.(2D*).5d | 3G*  | 3   | 5s2.5p3.(2P*).4f | 1G   | 4   |    |        |  L10579  |
                    |                    |          |      |      |                           |                  |      |     |                  |      |     |    |        |          |
         130.9656   |         130.96507+ |        2 |      |      |  15.030552  -   24.497520 | 5s2.5p3.(4S*).5d | 3D*  | 3   | 5s2.5p3.(4S*).5f | 5F   | 3   |    |        |  L10579  |
         130.9818   |         130.98098+ |       10 |      |      |   4.476194  -   13.942011 | 5s2.5p4          | 1S   | 0   | 5s2.5p3.(4S*).5d | 5D*  | 1   |    |        |  L10579  |
         130.9881   |         130.98843+ |       4u |      |      |  13.942011  -   23.407289 | 5s2.5p3.(4S*).5d | 5D*  | 1   | 5s2.5p3.(2D*).4f | 3D   | 1   |    |        |  L10579  |
         131.4088   |         131.40851+ |       10 |      |      |  13.972269  -   23.407289 | 5s2.5p3.(4S*).5d | 5D*  | 0   | 5s2.5p3.(2D*).4f | 3D   | 1   |    |        |  L10579  |
         131.4390   |         131.43888+ |        1 |      |      |  15.030552  -   24.463393 | 5s2.5p3.(4S*).5d | 3D*  | 3   | 5s2.5p3.(4S*).5f | 5F   | 4   |    |        |  L10579  |
                    |                    |          |      |      |                           |                  |      |     |                  |      |     |    |        |          |
         131.5200   |         131.52059+ |        0 |      |      |  15.913266  -   25.340246 | 5s2.5p3.(2D*).5d | 3G*  | 3   | 5s2.5p3.(2P*).4f | 3D   | 3   |    |        |   L7270  |
         131.6442   |         131.64363+ |        8 |      |      |  13.942011  -   23.360180 | 5s2.5p3.(4S*).5d | 5D*  | 1   | 5s2.5p3.(2D*).4f | 3P   | 2   |    |        |  L10579  |
