-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |        Ritz        |  Rel. |    Aki    | Acc. |      Ei           Ek      |          Lower level          |          Upper level          |Type|    TP  |   Line  |
     Wavelength     |     Wavelength     |  Int. |  (s^-1)   |      |     (eV)         (eV)     |-------------------------------|-------------------------------|    |   Ref. |   Ref.  |
      Vac (nm)      |      Vac (nm)      |       |           |      |                           | Conf.          | Term  | J    | Conf.          | Term  | J    |    |        |         |
         228.314    |         228.3139+  |     5 |           |      |  11.827688  -   17.256441 | 5p4.(3P<2>).5d | 2[2]  | 5/2  | 5p4.(3P<2>).4f | 2[3]* | 5/2  |    |        |  L5583  |
         228.524    |         228.5275+  |    2h |           |      |  11.832763  -   17.256441 | 5p4.(3P<2>).5d | 2[3]  | 7/2  | 5p4.(3P<2>).4f | 2[3]* | 5/2  |    |        |  L6925  |
                    |                    |       |           |      |                           |                |       |      |                |       |      |    |        |         |
         228.594    |         228.5948+  |     8 |           |      |  11.827688  -   17.249770 | 5p4.(3P<2>).5d | 2[2]  | 5/2  | 5p4.(3P<2>).7p | 2[2]* | 5/2  |    |        |  L6925  |
         228.792    |         228.785+   |     2 |           |      |  14.093642  -   19.51121  | 5p4.(3P<2>).6p | 2[1]* | 1/2  | 5p4.(3P<1>).8s | 2[1]  | 1/2  |    |        |  L6991  |
         229.084    |         229.0850+  |    2h |           |      |  13.057189  -   18.467670 | 5p4.(3P<2>).5d | 2[1]  | 3/2  | 5p4.(3P<1>).4f | 2[2]* | 5/2  |    |        |  L6925  |
         229.201    |         229.2214+  |   2bl |           |      |  11.906634  -   17.313895 | 5p4.(3P<2>).5d | 2[2]  | 3/2  | 5p4.(3P<2>).7p | 2[3]* | 5/2  |    |        |  L5583  |
         229.240    |         229.2423+  |    20 |           |      |  11.827688  -   17.234457 | 5p4.(3P<2>).5d | 2[2]  | 5/2  | 5p4.(3P<2>).4f | 2[3]* | 7/2  |    |        |  L6925  |
                    |                    |       |           |      |                           |                |       |      |                |       |      |    |        |         |
         229.457    |         229.4577+  |    15 |           |      |  11.832763  -   17.234457 | 5p4.(3P<2>).5d | 2[3]  | 7/2  | 5p4.(3P<2>).4f | 2[3]* | 7/2  |    |        |  L6925  |
         229.652    |         229.6548+  |    30 |           |      |  11.832763  -   17.229820 | 5p4.(3P<2>).5d | 2[3]  | 7/2  | 5p4.(3P<2>).4f | 2[4]* | 9/2  |    |        |  L6925  |
         229.936    |         229.9363+  |    2h |           |      |  12.008884  -   17.399334 | 5p4.(3P<2>).5d | 2[1]  | 1/2  | 5p4.(3P<2>).4f | 2[1]* | 3/2  |    |        |  L6925  |
         229.998    |         229.9994+  |     6 |           |      |  11.906634  -   17.295605 | 5p4.(3P<2>).5d | 2[2]  | 3/2  | 5p4.(3P<2>).4f | 2[2]* | 3/2  |    |        |  L6925  |
         230.460    |         230.4644+  |    1h |           |      |  14.000896  -   19.378994 | 5p4.(1D<2>).6s | 2[2]  | 3/2  | 5p4.(1D<2>).4f | 2[2]* | 3/2  |    |        |  L6925  |
                    |                    |       |           |      |                           |                |       |      |                |       |      |    |        |         |
         230.728    |         230.7294+  |     3 |           |      |  12.008884  -   17.380808 | 5p4.(3P<2>).5d | 2[1]  | 1/2  | 5p4.(3P<2>).4f | 2[1]* | 1/2  |    |        |  L6925  |
         230.815    |         230.8174+  |     3 |           |      |  14.000896  -   19.370770 | 5p4.(1D<2>).6s | 2[2]  | 3/2  | 5p4.(1D<2>).4f | 2[2]* | 5/2  |    |        |  L5583  |
         231.370    |         231.3705+  |     5 |           |      |  13.201244  -   18.558283 | 5p4.(3P<2>).5d | 2[3]  | 5/2  | 5p4.(3P<1>).4f | 2[3]* | 7/2  |    |        |  L6925  |
         231.421    |         231.426+   |  1bl* |           |      |  14.097673  -   19.45343  | 5p4.(3P<2>).6p | 2[3]* | 7/2  | 5p4.(3P<2>).6g | 2[3]  | 5/2  |    |        |  L6991  |
