----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed    |      Ritz      |  Rel. |    Aki     | Acc. |      Ei           Ek      |         Lower level          |         Upper level          |   Type|        TP  |    Line  |
   Wavelength   |   Wavelength   |  Int. |   (s^-1)   |      |     (eV)         (eV)     |------------------------------|------------------------------|       |       Ref. |    Ref.  |
    Vac (nm)    |    Vac (nm)    |       |            |      |                           | Conf.           | Term | J   | Conf.           | Term | J   |       |            |          |
       254.055  |       254.0576 |     7 |            |      |  31.107903  -   35.98660  | 3s2.3p2.(3P).4s | 4P   | 3/2 | 3s2.3p2.(3P).4p | 2D*  | 3/2 |       |            |  L11418  |
       256.209  |       256.2106 |    10 | 1.4e+08    | D    |  31.022731  -   35.860433 | 3s2.3p2.(3P).4s | 4P   | 1/2 | 3s2.3p2.(3P).4p | 4P*  | 3/2 |       | T1619CA,LS |  L11418  |
       256.802  |       256.8053 |    10 | 1.0e+08    | D    |  31.107903  -   35.934402 | 3s2.3p2.(3P).4s | 4P   | 3/2 | 3s2.3p2.(3P).4p | 4P*  | 5/2 |       | T1619CA,LS |  L11418  |
       256.945  |       256.946  |     9 | 5.7e+07    | E    |  31.022731  -   35.84660  | 3s2.3p2.(3P).4s | 4P   | 1/2 | 3s2.3p2.(3P).4p | 4P*  | 1/2 |       | T1619CA,LS |  L11418  |
                |                |       |            |      |                           |                 |      |     |                 |      |     |       |            |          |
       259.941  |       259.9420 |     2 |            |      |  31.906537  -   36.67480  | 3s2.3p2.(3P).4s | 2P   | 3/2 | 3s2.3p2.(3P).4p | 2P*  | 3/2 |       |            |  L11418  |
       260.803  |       260.8025 |     9 | 4.3e+07    | E    |  31.107903  -   35.860433 | 3s2.3p2.(3P).4s | 4P   | 3/2 | 3s2.3p2.(3P).4p | 4P*  | 3/2 |       | T1619CA,LS |  L11418  |
       260.844  |       260.837  |     7 |            |      |  31.906537  -   36.65843  | 3s2.3p2.(3P).4s | 2P   | 3/2 | 3s2.3p2.(3P).4p | 2P*  | 1/2 |       |            |   L4489  |
       261.124  |       261.1267 |     3 |            |      |  31.239970  -   35.98660  | 3s2.3p2.(3P).4s | 4P   | 5/2 | 3s2.3p2.(3P).4p | 2D*  | 3/2 |       |            |   L4489  |
       261.565  |       261.564  |    10 | 2.7e+08    | D    |  31.107903  -   35.84660  | 3s2.3p2.(3P).4s | 4P   | 3/2 | 3s2.3p2.(3P).4p | 4P*  | 1/2 |       | T1619CA,LS |  L11418  |
                |                |       |            |      |                           |                 |      |     |                 |      |     |       |            |          |
       261.990  |       261.988  |     9 |            |      |  33.19569   -   37.926717 | 3s2.3p2.(1D).4s | 2D   | 5/2 | 3s2.3p2.(1D).4p | 2D*  | 3/2 |       |            |  L11418  |
       262.130  |       262.1302 |    10 |            |      |  33.19826   -   37.926717 | 3s2.3p2.(1D).4s | 2D   | 3/2 | 3s2.3p2.(1D).4p | 2D*  | 3/2 |       |            |  L11418  |
       262.486  |       262.485  |    10 |            |      |  33.19569   -   37.917765 | 3s2.3p2.(1D).4s | 2D   | 5/2 | 3s2.3p2.(1D).4p | 2D*  | 5/2 |       |            |  L11418  |
       262.632  |       262.6274 |     2 |            |      |  33.19826   -   37.917765 | 3s2.3p2.(1D).4s | 2D   | 3/2 | 3s2.3p2.(1D).4p | 2D*  | 5/2 |       |            |   L4489  |
