---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |        Ritz        |  Rel. |    Aki     | Acc. |        Ei           Ek        |          Lower level          |          Upper level          |Type|        TP  |    Line  |
     Wavelength     |     Wavelength     |  Int. |   (s^-1)   |      |       (eV)         (eV)       |-------------------------------|-------------------------------|    |       Ref. |    Ref.  |
      Vac (nm)      |      Vac (nm)      |       |            |      |                               | Conf.            | Term | J   | Conf.            | Term | J   |    |            |          |
         160.5710   |         160.57128  |    12 |            |      |  22.2588235   -   29.9802663  | 3s2.3p3.(2P*).3d | 1D*  | 2   | 3s2.3p3.(2P*).4p | 1P   | 1   |    |            |   L9366  |
         161.10049  |         161.10054  |       |            |      |  20.218868    -   27.91494398 | 3s2.3p3.(2D*).3d | 3F*  | 3   | 3s2.3p3.(2D*).4p | 3D   | 2   |    |            |   L8114  |
         161.47997  |         161.48019  |       |            |      |  20.268566    -   27.94654815 | 3s2.3p3.(2D*).3d | 3F*  | 4   | 3s2.3p3.(2D*).4p | 3D   | 3   |    |            |   L8114  |
         161.77766  |         161.77766  |       |            |      |  20.066834    -   27.7306976  | 3s2.3p3.(2D*).3d | 1S*  | 0   | 3s2.3p3.(2D*).4p | 1P   | 1   |    |            |   L8114  |
                    |                    |       |            |      |                               |                  |      |     |                  |      |     |    |            |          |
         164.9570   |         164.95533  |     1 |            |      |  22.2588235   -   29.7750520  | 3s2.3p3.(2P*).3d | 1D*  | 2   | 3s2.3p3.(2P*).4p | 3D   | 1   |    |            |   L9366  |
         165.0020   |         165.000857 |     0 |            |      |  27.94654815  -   35.4607030  | 3s2.3p3.(2D*).4p | 3D   | 3   | 3s2.3p3.(2P*).5s | 3P*  | 2   |    |            |   L9366  |
         166.90970  |         166.90964  |       | 6.2e+06    | E    |  17.9641548   -   25.39237770 | 3s2.3p3.(4S*).3d | 5D*  | 2   | 3s2.3p3.(4S*).4p | 5P   | 3   |    | T1619CA,LS |   L8114  |
         166.92893  |         166.92869  |       | 4.3e+07    | E    |  17.965003    -   25.39237770 | 3s2.3p3.(4S*).3d | 5D*  | 3   | 3s2.3p3.(4S*).4p | 5P   | 3   |    | T1619CA,LS |   L8114  |
         166.96701  |         166.96702  |       | 1.7e+08    | E    |  17.966708    -   25.39237770 | 3s2.3p3.(4S*).3d | 5D*  | 4   | 3s2.3p3.(4S*).4p | 5P   | 3   |    | T1619CA,LS |   L8114  |
                    |                    |       |            |      |                               |                  |      |     |                  |      |     |    |            |          |
         167.30711  |         167.30709  |       | 2.0e+07    | E    |  17.963508    -   25.37408393 | 3s2.3p3.(4S*).3d | 5D*  | 1   | 3s2.3p3.(4S*).4p | 5P   | 2   |    | T1619CA,LS |   L8114  |
         167.32169  |         167.32171  |       | 7.6e+07    | E    |  17.9641548   -   25.37408393 | 3s2.3p3.(4S*).3d | 5D*  | 2   | 3s2.3p3.(4S*).4p | 5P   | 2   |    | T1619CA,LS |   L8114  |
         167.34061  |         167.34086  |       | 1.2e+08    | E    |  17.965003    -   25.37408393 | 3s2.3p3.(4S*).3d | 5D*  | 3   | 3s2.3p3.(4S*).4p | 5P   | 2   |    | T1619CA,LS |   L8114  |
         167.54773  |         167.54771  |       | 9.7e+07    | E    |  17.963508    -   25.3634416  | 3s2.3p3.(4S*).3d | 5D*  | 1   | 3s2.3p3.(4S*).4p | 5P   | 1   |    | T1619CA,LS |   L8114  |
         167.56232  |         167.56236  |       | 7.6e+07    | E    |  17.9641548   -   25.3634416  | 3s2.3p3.(4S*).3d | 5D*  | 2   | 3s2.3p3.(4S*).4p | 5P   | 1   |    | T1619CA,LS |   L8114  |
                    |                    |       |            |      |                               |                  |      |     |                  |      |     |    |            |          |
         176.8830   |         176.881236 |     6 |            |      |  22.2588235   -   29.26828372 | 3s2.3p3.(2P*).3d | 1D*  | 2   | 3s2.3p3.(2D*).4p | 1D   | 2   |    |            |   L9366  |
         178.6520   |         178.65105  |     1 |            |      |  23.2063731   -   30.1463937  | 3s2.3p3.(2D*).3d | 3D*  | 1   | 3s2.3p3.(2P*).4p | 3P   | 1   |    |            |   L9366  |
         179.3640   |         179.36397  |     3 |            |      |  23.2063731   -   30.118809   | 3s2.3p3.(2D*).3d | 3D*  | 1   | 3s2.3p3.(2P*).4p | 3P   | 0   |    |            |   L9366  |
         179.8500   |         179.850104 |     6 |            |      |  23.2872005   -   30.18095237 | 3s2.3p3.(2D*).3d | 3D*  | 2   | 3s2.3p3.(2P*).4p | 3P   | 2   |    |            |   L9366  |
         181.4630   |         181.46317  |    1* |            |      |  21.3422147   -   28.17468645 | 3s2.3p3.(2D*).3d | 3G*  | 4   | 3s2.3p3.(2D*).4p | 1F   | 3   |    |            |   L9366  |
                    |                    |       |            |      |                               |                  |      |     |                  |      |     |    |            |          |
         181.4630   |         181.46831  |    1* |            |      |  28.06469227  -   34.8969705  | 3s2.3p3.(2D*).4p | 3F   | 2   | 3s2.3p3.(2P*).4d | 3F*  | 2   |    |            |   L9366  |
         182.7800   |         182.778860 |     6 |            |      |  23.3976625   -   30.18095237 | 3s2.3p3.(2D*).3d | 3D*  | 3   | 3s2.3p3.(2P*).4p | 3P   | 2   |    |            |   L9366  |
         183.4530   |         183.45221  |     3 |            |      |  21.3422147   -   28.10060677 | 3s2.3p3.(2D*).3d | 3G*  | 4   | 3s2.3p3.(2D*).4p | 3F   | 4   |    |            |   L9366  |
         183.63722  |         183.63722  |     7 |            |      |  21.3490235   -   28.10060677 | 3s2.3p3.(2D*).3d | 3G*  | 5   | 3s2.3p3.(2D*).4p | 3F   | 4   |    |            |  L11520  |
         183.8090   |         183.80984  |     3 |            |      |  21.337694    -   28.08293673 | 3s2.3p3.(2D*).3d | 3G*  | 3   | 3s2.3p3.(2D*).4p | 3F   | 3   |    |            |   L9366  |
                    |                    |       |            |      |                               |                  |      |     |                  |      |     |    |            |          |
         183.93310  |         183.93311  |     6 |            |      |  21.3422147   -   28.08293673 | 3s2.3p3.(2D*).3d | 3G*  | 4   | 3s2.3p3.(2D*).4p | 3F   | 3   |    |            |  L11520  |
         184.30837  |         184.30836  |     4 |            |      |  21.337694    -   28.06469227 | 3s2.3p3.(2D*).3d | 3G*  | 3   | 3s2.3p3.(2D*).4p | 3F   | 2   |    |            |  L11520  |
         185.0320   |         185.03110  |     6 |            |      |  23.4802304   -   30.18095237 | 3s2.3p3.(2P*).3d | 3P*  | 2   | 3s2.3p3.(2P*).4p | 3P   | 2   |    |            |   L9366  |
         185.56497  |         185.56495  |     7 |            |      |  23.1110123   -   29.79245706 | 3s2.3p3.(2P*).3d | 3F*  | 4   | 3s2.3p3.(2P*).4p | 3D   | 3   |    |            |  L11520  |
         185.9890   |         185.99034  |     3 |            |      |  23.4802304   -   30.1463937  | 3s2.3p3.(2P*).3d | 3P*  | 2   | 3s2.3p3.(2P*).4p | 3P   | 1   |    |            |   L9366  |
                    |                    |       |            |      |                               |                  |      |     |                  |      |     |    |            |          |
         186.4500   |         186.44826  |     1 |            |      |  23.1426661   -   29.79245706 | 3s2.3p3.(2P*).3d | 3F*  | 3   | 3s2.3p3.(2P*).4p | 3D   | 3   |    |            |   L9366  |
         186.56622  |         186.56625  |     5 |            |      |  23.1426661   -   29.7882517  | 3s2.3p3.(2P*).3d | 3F*  | 3   | 3s2.3p3.(2P*).4p | 3D   | 2   |    |            |  L11520  |
         187.4270   |         187.42587  |     1 |            |      |  23.1731458   -   29.7882517  | 3s2.3p3.(2P*).3d | 3F*  | 2   | 3s2.3p3.(2P*).4p | 3D   | 2   |    |            |   L9366  |
         187.80060  |         187.80061  |     4 |            |      |  23.1731458   -   29.7750520  | 3s2.3p3.(2P*).3d | 3F*  | 2   | 3s2.3p3.(2P*).4p | 3D   | 1   |    |            |  L11520  |
         190.7140   |         190.71408  |     0 |            |      |  23.2872005   -   29.7882517  | 3s2.3p3.(2D*).3d | 3D*  | 2   | 3s2.3p3.(2P*).4p | 3D   | 2   |    |            |   L9366  |
                    |                    |       |            |      |                               |                  |      |     |                  |      |     |    |            |          |
         191.441190 |         191.441190 |    30 | 1.8e+08    | E    |  19.4550447   -   25.93140430 | 3s2.3p3.(4S*).3d | 3D*  | 3   | 3s2.3p3.(4S*).4p | 3P   | 2   |    | T1619CA,LS |  L11520  |
         191.46704  |         191.466991 |     6 | 3.2e+07    | E    |  19.4559174   -   25.93140430 | 3s2.3p3.(4S*).3d | 3D*  | 2   | 3s2.3p3.(4S*).4p | 3P   | 2   |    | T1619CA,LS |  L11520  |
         191.55767  |         191.557680 |    19 | 1.6e+08    | E    |  19.4559174   -   25.92833862 | 3s2.3p3.(4S*).3d | 3D*  | 2   | 3s2.3p3.(4S*).4p | 3P   | 1   |    | T1619CA,LS |  L11520  |
         191.80682  |         191.80680  |     8 | 2.1e+08    | E    |  19.4692154   -   25.93323021 | 3s2.3p3.(4S*).3d | 3D*  | 1   | 3s2.3p3.(4S*).4p | 3P   | 0   |    | T1619CA,LS |  L11520  |
         191.8667   |         191.86099  |     4 | 2.1e+06    | E    |  19.4692154   -   25.93140430 | 3s2.3p3.(4S*).3d | 3D*  | 1   | 3s2.3p3.(4S*).4p | 3P   | 2   |    | T1619CA,LS |   L3263  |
                    |                    |       |            |      |                               |                  |      |     |                  |      |     |    |            |          |
         191.95199  |         191.95206  |     8 | 5.4e+07    | E    |  19.4692154   -   25.92833862 | 3s2.3p3.(4S*).3d | 3D*  | 1   | 3s2.3p3.(4S*).4p | 3P   | 1   |    | T1619CA,LS |  L11520  |
         193.87891  |         193.87891  |    14 |            |      |  21.7797569   -   28.17468645 | 3s2.3p3.(2D*).3d | 1G*  | 4   | 3s2.3p3.(2D*).4p | 1F   | 3   |    |            |  L11520  |
         195.78465  |         195.784673 |     3 |            |      |  22.40125602  -   28.7339376  | 3s2.3p3.(4S*).4s | 3S*  | 1   | 3s2.3p3.(2D*).4p | 3P   | 0   |    |            |  L11520  |
         195.8890   |         195.8905   |     5 |            |      |  23.32702     -   29.6562805  | 3s2.3p3.(2P*).3d | 3P*  | 0   | 3s2.3p3.(2P*).4p | 3S   | 1   |    |            |   L9366  |
         196.27446  |         196.274516 |     5 |            |      |  22.40125602  -   28.71813306 | 3s2.3p3.(4S*).4s | 3S*  | 1   | 3s2.3p3.(2D*).4p | 3P   | 1   |    |            |  L11520  |
                    |                    |       |            |      |                               |                  |      |     |                  |      |     |    |            |          |
         196.5490   |         196.55006  |     6 |            |      |  23.4802304   -   29.7882517  | 3s2.3p3.(2P*).3d | 3P*  | 2   | 3s2.3p3.(2P*).4p | 3D   | 2   |    |            |   L9366  |
         197.3300   |         197.33137  |     3 |            |      |  23.3732349   -   29.6562805  | 3s2.3p3.(2P*).3d | 3P*  | 1   | 3s2.3p3.(2P*).4p | 3S   | 1   |    |            |   L9366  |
         197.37937  |         197.379390 |     5 |            |      |  22.40125602  -   28.68277299 | 3s2.3p3.(4S*).4s | 3S*  | 1   | 3s2.3p3.(2D*).4p | 3P   | 2   |    |            |  L11520  |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |        Ritz        |  Rel. |    Aki     | Acc. |        Ei           Ek        |          Lower level          |          Upper level          |Type|        TP  |    Line  |
     Wavelength     |     Wavelength     |  Int. |   (s^-1)   |      |       (eV)         (eV)       |-------------------------------|-------------------------------|    |       Ref. |    Ref.  |
