------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       Observed       |         Ritz         |      Rel. |     Aki     | Acc. |         Ei           Ek         |            Lower level            |            Upper level            |Type|    TP  |    Line  |
      Wavelength      |      Wavelength      |      Int. |   (s^-1)    |      |        (eV)         (eV)        |-----------------------------------|-----------------------------------|    |   Ref. |    Ref.  |
       Vac (nm)       |       Vac (nm)       |           |             |      |                                 | Conf.              | Term  | J    | Conf.              | Term  | J    |    |        |          |
          160.2554    |          160.255190  |        2* |             |      |  16.44411446   -   24.18078735  | 3s2.3p4.(3P).3d    | 4D    | 3/2  | 3s2.3p4.(3P<2>).4f | 2[2]* | 5/2  |    |        |  L16202  |
          160.2893    |          160.2889479 |         2 |             |      |  17.69466481   -   25.42970831  | 3s2.3p4.(3P).3d    | 4F    | 7/2  | 3s2.3p4.(3P<2>).5f | 2[5]* | 9/2  |    |        |  L16202  |
                      |                      |           |             |      |                                 |                    |       |      |                    |       |      |    |        |          |
          160.3074    |          160.3074155 |         4 |             |      |  16.42557623   -   24.15972864  | 3s2.3p4.(3P).3d    | 4D    | 5/2  | 3s2.3p4.(3P<2>).4f | 2[3]* | 5/2  |    |        |  L16202  |
          160.3443    |          160.3442049 |         4 |             |      |  16.44411446   -   24.17649235  | 3s2.3p4.(3P).3d    | 4D    | 3/2  | 3s2.3p4.(3P<2>).4f | 2[2]* | 3/2  |    |        |  L16202  |
          160.4083    |          160.4081386 |         5 |             |      |  16.42557623   -   24.15487223  | 3s2.3p4.(3P).3d    | 4D    | 5/2  | 3s2.3p4.(3P<2>).4f | 2[4]* | 7/2  |    |        |  L16202  |
          160.6197    |          160.6197161 |         3 |             |      |  16.45737782   -   24.17649235  | 3s2.3p4.(3P).3d    | 4D    | 1/2  | 3s2.3p4.(3P<2>).4f | 2[2]* | 3/2  |    |        |  L16202  |
          160.6927    |          160.6925845 |         4 |             |      |  16.44411446   -   24.15972864  | 3s2.3p4.(3P).3d    | 4D    | 3/2  | 3s2.3p4.(3P<2>).4f | 2[3]* | 5/2  |    |        |  L16202  |
                      |                      |           |             |      |                                 |                    |       |      |                    |       |      |    |        |          |
          160.7168    |          160.7180864 |         1 |             |      |  17.69466481   -   25.40905473  | 3s2.3p4.(3P).3d    | 4F    | 7/2  | 3s2.3p4.(3P<2>).5f | 2[4]* | 9/2  |    |        |  L16202  |
          161.5807    |          161.5809238 |       0.5 |             |      |  17.74309101   -   25.41628630  | 3s2.3p4.(3P).3d    | 4F    | 5/2  | 3s2.3p4.(3P<2>).5f | 2[3]* | 7/2  |    |        |  L16202  |
          161.6972    |          161.6986189 |         1 |             |      |  17.74309101   -   25.41070124  | 3s2.3p4.(3P).3d    | 4F    | 5/2  | 3s2.3p4.(3P<2>).5f | 2[4]* | 7/2  |    |        |  L16202  |
          162.7085    |          162.710523  |         0 |             |      |  18.615942491  -   26.23586749  | 3s2.3p4.(3P).3d    | 2F    | 5/2  | 3s2.3p4.(3P<1>).6f | 2[4]* | 7/2  |    |        |  L16202  |
          162.8825    |          162.8837112 |       1bl |             |      |  17.94175110   -   25.55357413  | 3s2.3p4.(3P).3d    | 2P    | 1/2  | 3s2.3p4.(3P<1>).5f | 2[2]* | 3/2  |    |        |  L16202  |
                      |                      |           |             |      |                                 |                    |       |      |                    |       |      |    |        |          |
          162.9834    |          162.984057  |       1bl |             |      |  18.495869040  -   26.1030057   | 3s2.3p4.(3P).3d    | 2F    | 7/2  | 3s2.3p4.(3P<2>).6f | 2[5]* | 9/2  |    |        |  L16202  |
          164.0335    |          164.0343689 |         1 |             |      |  18.06063988   -   25.61906799  | 3s2.3p4.(3P).3d    | 2P    | 3/2  | 3s2.3p4.(3P<0>).5f | 2[3]* | 5/2  |    |        |  L16202  |
          164.9299    |          164.931147  |         1 |             |      |  18.426549103  -   25.94387988  | 3s2.3p4.(1D).4s    | 2D    | 3/2  | 3s2.3p4.(1D<2>).4f | 2[3]* | 5/2  |    |        |  L14821  |
          165.0531    |          165.0535872 |         1 |             |      |  18.06063988   -   25.57239413  | 3s2.3p4.(3P).3d    | 2P    | 3/2  | 3s2.3p4.(3P<1>).5f | 2[3]* | 5/2  |    |        |  L16202  |
          165.3322    |          165.3326635 |         1 |             |      |  17.94175110   -   25.44082574  | 3s2.3p4.(3P).3d    | 2P    | 1/2  | 3s2.3p4.(3P<2>).5f | 2[1]* | 3/2  |    |        |  L16202  |
                      |                      |           |             |      |                                 |                    |       |      |                    |       |      |    |        |          |
          165.5459    |          165.5460189 |       0.5 |             |      |  18.454114013  -   25.94352386  | 3s2.3p4.(1D).4s    | 2D    | 5/2  | 3s2.3p4.(1D<2>).4f | 2[3]* | 7/2  |    |        |  L14821  |
          166.2253    |          166.2260405 |         1 |             |      |  18.495869040  -   25.95464012  | 3s2.3p4.(3P).3d    | 2F    | 7/2  | 3s2.3p4.(1D<2>).4f | 2[4]* | 9/2  |    |        |  L16202  |
